scene,width,height,pair,method,trajectory,frame,trajectory_phase,repeat_count,min_ms,median_ms,max_ms
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,99,0.4125,12,1.5823957947006226,1.617734335504532,2.069947866130829
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,100,0.4166666666666667,12,1.5623957951889038,1.6073437107582094,2.0476041166763306
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,101,0.42083333333333334,12,1.5564582953338624,1.610755169008255,1.913281203289032
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,102,0.425,12,1.5705207949905395,1.6168749605255126,1.6901041254043578
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,103,0.42916666666666664,12,1.5897916278533935,1.6090624607162476,1.7318749577178956
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,104,0.43333333333333335,12,1.5458853789253235,1.614817668909073,2.024427033908844
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,105,0.4375,12,1.527135379383087,1.5778385031452178,1.839114538433075
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,106,0.44166666666666665,12,1.534114545879364,1.5642447534770967,2.033124950363159
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,107,0.44583333333333336,12,1.5149999630126953,1.5635676701602934,1.9960937012672424
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,108,0.45,12,1.5330728792381287,1.5696874616775514,2.0401562001914977
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,109,0.45416666666666666,12,1.5002603800392151,1.559010378604889,2.0271874505081175
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,110,0.4583333333333333,12,1.5044270466041565,1.5377603791236876,1.9542187022895814
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,111,0.4625,12,1.475885380634308,1.5183593379306792,1.9790103683509828
Pipes-perfect,192,129,middlebury_vs_dda,dda,horizontal_sinusoid,112,0.4666666666666667,12,1.4762499639587403,1.531432254278183,1.806614539226532
